,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
5889,202925,3,Bard Finne,Centre-Forward,2015,700000.0,13-Feb-95,20.0,"1,73",right,goOn as 
5892,488,86,Gerhard Tremmel,Goalkeeper,2015,500000.0,16-Nov-78,36.0,,,
5899,32618,86,Assani Lukimya,Centre-Back,2015,800000.0,25-Jan-86,29.0,"1,90",right,Relatives 
5901,109436,86,Oliver Hüsing,Centre-Back,2015,350000.0,17-Feb-93,22.0,"1,93",right,KL Sportsbase 
5918,117484,86,Julian von Haacke,Central Midfield,2015,250000.0,14-Feb-94,21.0,"1,81",right,Quantum Sport 
5920,83256,86,Özkan Yildirim,Attacking Midfield,2015,250000.0,10-Apr-93,22.0,"1,73",left,
5925,153634,86,Marcel Hilßner,Right Winger,2015,300000.0,30-Jan-95,20.0,"1,83",left,
5933,94226,41,Tino Dehmelt,Goalkeeper,2015,50000.0,29-Jan-92,23.0,"1,80",right,Fröhlich ... 
5938,159265,41,Kerim Carolus,Centre-Back,2015,100000.0,16-Jun-94,21.0,"1,88",both,
5950,61591,41,Zoltán Stieber,Attacking Midfield,2015,800000.0,16-Oct-88,26.0,"1,75",left,
5951,209686,41,Ahmet Arslan,Attacking Midfield,2015,300000.0,30-Mar-94,21.0,"1,79",right,think forward 
5956,196570,41,Philipp Müller,Right Winger,2015,100000.0,3-Mar-95,20.0,"1,75",right,extratime GmbH 
5962,7427,41,Ivica Olic,Centre-Forward,2015,750000.0,14-Sep-79,35.0,"1,82",left,
5966,217718,42,Timo Königsmann,Goalkeeper,2015,300000.0,5-Apr-97,18.0,"1,86",right,K&K Sportmanagement 
5971,1586,42,Christian Schulz,Centre-Back,2015,1000000.0,1-Apr-83,32.0,"1,85",left,ARP Sportmarketing 
5975,235371,42,Fynn Arkenberg,Centre-Back,2015,75000.0,4-Mar-96,19.0,"1,88",right,Players Factory 
5980,92453,42,Vladimir Rankovic,Right-Back,2015,250000.0,27-Jun-93,22.0,"1,72",right,
5982,118492,42,Hotaru Yamaguchi,Defensive Midfield,2015,1500000.0,6-Oct-90,24.0,"1,74",right,JAPAN SPORTS ... 
5983,37216,42,Ceyhun Gülselam,Defensive Midfield,2015,750000.0,25-Dec-87,27.0,"1,92",right,Alpaslan Kayabunar 
5984,119555,42,Maurice Hirsch,Defensive Midfield,2015,400000.0,30-May-93,22.0,"1,76",right,Relatives 
5987,22837,42,Leon Andreasen,Central Midfield,2015,750000.0,23-Apr-83,32.0,,,
5990,297202,42,Niklas Feierabend,Central Midfield,2015,,28-Apr-97,,"1,80",left,
5997,75640,42,Artur Sobiech,Centre-Forward,2015,1500000.0,12-Jun-90,25.0,"1,84",right,no agent 
6001,9824,42,Hugo Almeida,Centre-Forward,2015,1000000.0,23-May-84,31.0,"1,91",left,NINE Sports ... 
