,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
170,24180,31,Martin Skrtel,Centre-Back,2015,,"Dec 15, 1984 ",38.0,"1,91",right,Stars & Friends 
171,121280,31,Steven Caulker,Centre-Back,2015,1200000.0,"Dec 29, 1991 ",31.0,"1,91",right,Relatives 
172,177859,31,Tiago Ilori,Centre-Back,2015,600000.0,"Feb 26, 1993 ",30.0,"1,90",right,Proeleven S.A. 
173,256178,31,Joe Gomez,Centre-Back,2015,30000000.0,"May 23, 1997 Happy Birthday",26.0,"1,88",right,Wasserman 
174,3202,31,Kolo Touré,Centre-Back,2015,,"Mar 19, 1981 ",42.0,"1,78",right,
175,264193,31,Dan Cleary,Centre-Back,2015,300000.0,"Mar 9, 1996 ",27.0,"1,82",right,YMU Group 
176,293784,31,Conor Masterson,Centre-Back,2015,250000.0,"Sep 8, 1998 ",24.0,"1,85",right,CAA Stellar 
177,207917,31,Alberto Moreno,Left-Back,2015,4000000.0,"Jul 5, 1992 ",30.0,"1,71",left,
178,35571,31,José Enrique,Left-Back,2015,,"Jan 23, 1986 ",37.0,"1,84",left,Football Management ... 
179,175745,31,Brad Smith,Left-Back,2015,1000000.0,"Apr 9, 1994 ",29.0,"1,77",left,Wasserman 
180,263556,31,Joe Maguire,Left-Back,2015,100000.0,"Jan 18, 1996 ",27.0,"1,79",left,
181,85177,31,Nathaniel Clyne,Right-Back,2015,3000000.0,"Apr 5, 1991 ",32.0,"1,75",right,ROOF 
182,145922,31,Jon Flanagan,Right-Back,2015,,"Jan 1, 1993 ",30.0,"1,81",right,Wasserman 
183,128912,31,Andre Wisdom,Right-Back,2015,,"May 9, 1993 ",30.0,"1,86",right,
184,262545,31,Connor Randall,Right-Back,2015,450000.0,"Oct 21, 1995 ",27.0,"1,80",right,PIR 
185,119296,31,Emre Can,Defensive Midfield,2015,14000000.0,"Jan 12, 1994 ",29.0,"1,86",right,ISM Int. Soccer ... 
186,41414,31,Lucas Leiva,Defensive Midfield,2015,,"Jan 9, 1987 ",36.0,"1,79",right,Relatives 
187,258924,31,Jordan Rossiter,Defensive Midfield,2015,250000.0,"Mar 24, 1997 ",26.0,"1,78",right,Wasserman 
188,200782,31,Kevin Stewart,Defensive Midfield,2015,300000.0,"Sep 7, 1993 ",29.0,"1,82",,New Vision 
189,242273,31,Pedro Chirivella,Defensive Midfield,2015,6000000.0,"May 23, 1997 Happy Birthday",26.0,"1,78",right,Promoesport 
190,61651,31,Jordan Henderson,Central Midfield,2015,10000000.0,"Jun 17, 1990 ",32.0,"1,87",right,ROOF 
191,3333,31,James Milner,Central Midfield,2015,2000000.0,"Jan 4, 1986 ",37.0,"1,75",right,
192,51452,31,Joe Allen,Central Midfield,2015,1000000.0,"Mar 14, 1990 ",33.0,"1,70",right,
193,261357,31,Cameron Brannagan,Central Midfield,2015,500000.0,"May 9, 1996 ",27.0,"1,80",right,New Era Global ... 
194,43530,31,Adam Lallana,Attacking Midfield,2015,1500000.0,"May 10, 1988 ",35.0,"1,72",both,CAA Stellar 
195,132214,31,João Carlos Teixeira,Attacking Midfield,2015,2000000.0,"Jan 18, 1993 ",30.0,"1,77",right,Universal Twenty Two 
196,80444,31,Philippe Coutinho,Left Winger,2015,14000000.0,"Jun 12, 1992 ",30.0,"1,72",right,Sports Invest UK ltd 
197,279457,31,Ryan Kent,Left Winger,2015,11000000.0,"Nov 11, 1996 ",26.0,"1,76",right,Relatives 
198,195652,31,Jordon Ibe,Right Winger,2015,300000.0,"Dec 8, 1995 ",27.0,"1,76",right,PowerHause SG 
199,251845,31,Sergi Canós,Right Winger,2015,9000000.0,"Feb 2, 1997 ",26.0,"1,77",right,Gelu Rodríguez 
200,236510,31,Sheyi Ojo,Right Winger,2015,1800000.0,"Jun 19, 1997 ",25.0,"1,79",left,Elite Project Group ... 
201,131789,31,Roberto Firmino,Centre-Forward,2015,22000000.0,"Oct 2, 1991 ",31.0,"1,81",right,ROGON 
202,50201,31,Christian Benteke,Centre-Forward,2015,3000000.0,"Dec 3, 1990 ",32.0,"1,90",right,MLA Management 
203,47082,31,Daniel Sturridge,Centre-Forward,2015,200000.0,"Sep 1, 1989 ",33.0,"1,82",left,Sturridge Sports ... 
204,134294,31,Danny Ings,Centre-Forward,2015,16000000.0,"Jul 23, 1992 ",30.0,"1,77",right,
